State,ERA,TOT_REVENUE,TOT_EXPENDITURE,GRADES_ALL_G,FIPS,Percentage
CALIFORNIA,1992,26260025.0,27138832.0,5254844.0,6.0,0.03792225632856209
COLORADO,1992,3185173.0,3264826.0,612635.0,8.0,0.3262135159168286
CONNECTICUT,1992,3834302.0,3721338.0,488476.0,9.0,0.409468759506993
DELAWARE,1992,645233.0,638784.0,104321.0,10.0,1.9466622365116437
FLORIDA,1992,11506299.0,11305642.0,1981407.0,12.0,0.10063579390880639
GEORGIA,1992,5536901.0,5535942.0,1207186.0,13.0,0.16528459318582736
HAWAII,1992,996809.0,1040121.0,177448.0,15.0,1.135327375524348
KANSAS,1992,2245348.0,2234915.0,451536.0,20.0,0.4431156905664407
KENTUCKY,1992,2642902.0,2518082.0,655041.0,21.0,0.305030709793599
LOUISIANA,1992,3341253.0,3362853.0,797985.0,22.0,0.2502534570027626
MAINE,1992,1206819.0,1228869.0,216453.0,23.0,0.9288402087092757
MARYLAND,1992,4658498.0,4698374.0,751850.0,24.0,0.26565029645612903
MASSACHUSETTS,1992,5517659.0,5245560.0,859948.0,25.0,0.23217973882110504
MICHIGAN,1992,9963137.0,10170688.0,1603610.0,26.0,0.12437422656338777
MINNESOTA,1992,4684684.0,4981125.0,793724.0,27.0,0.2516002889866773
MISSISSIPPI,1992,1684706.0,1691990.0,506668.0,28.0,0.39470868438364415
MISSOURI,1992,4043682.0,4197600.0,859357.0,29.0,0.2323397852723169
MONTANA,1992,828983.0,781009.0,160011.0,30.0,1.2606079015814553
NEBRASKA,1992,1542413.0,1534046.0,282414.0,31.0,0.7103579605023858
NEVADA,1992,1097076.0,1251651.0,222974.0,32.0,0.9014308857735018
PENNSYLVANIA,1992,11257252.0,11539253.0,1717613.0,42.0,0.11610956032830094
TENNESSEE,1992,3080490.0,3132516.0,855231.0,47.0,0.2334633086391972
TEXAS,1992,16264180.0,16119084.0,3541769.0,48.0,0.056274731430821776
VERMONT,1992,812377.0,800377.0,98558.0,50.0,2.0628378518319077
VIRGINIA,1992,5631293.0,5744469.0,1031925.0,51.0,0.19341063933284983
WASHINGTON,1992,4870832.0,5360834.0,896475.0,53.0,0.22269847498499135
WISCONSIN,1992,4993909.0,5181471.0,829415.0,55.0,0.24074747740877397
WYOMING,1992,629748.0,624941.0,100313.0,56.0,2.0260168224489172
CALIFORNIA,1993,28043338.0,28110986.0,5327231.0,6.0,0.037425557317813773
COLORADO,1993,3058326.0,3028305.0,625062.0,8.0,0.3198682649915178
CONNECTICUT,1993,4064158.0,4079943.0,496298.0,9.0,0.4031923609916954
DELAWARE,1993,683954.0,694534.0,105547.0,10.0,1.9245997257469534
FLORIDA,1993,11370156.0,11425183.0,2040763.0,12.0,0.0977550189575087
GEORGIA,1993,4716559.0,4647974.0,1235304.0,13.0,0.1615975208199716
HAWAII,1993,1062475.0,1063090.0,180410.0,15.0,1.117046021399306
KANSAS,1993,2386945.0,2522542.0,457614.0,20.0,0.4374249650477041
KENTUCKY,1993,2381148.0,2283431.0,655265.0,21.0,0.3050796605395608
LOUISIANA,1993,3438321.0,3427102.0,800560.0,22.0,0.24957204592726723
MAINE,1993,1368095.0,1321846.0,216995.0,23.0,0.9269681212267794
MARYLAND,1993,4918010.0,4898895.0,772638.0,24.0,0.2586145371734067
MASSACHUSETTS,1993,6121612.0,5679261.0,877726.0,25.0,0.22758078090011455
MICHIGAN,1993,11034174.0,11430958.0,1599377.0,26.0,0.12476649321640883
MINNESOTA,1993,4862635.0,5290504.0,810233.0,27.0,0.24658517272097397
MISSISSIPPI,1993,1170109.0,1167032.0,505907.0,28.0,0.3955039947292594
MISSOURI,1993,4196601.0,4234845.0,866378.0,29.0,0.23056855452142275
MONTANA,1993,813998.0,833435.0,163009.0,30.0,1.2377651910369156
NEBRASKA,1993,1625242.0,1642376.0,285097.0,31.0,0.7039815756753702
NEVADA,1993,1148268.0,1265367.0,235800.0,32.0,0.8524124598493629
PENNSYLVANIA,1993,12269422.0,12809067.0,1744082.0,42.0,0.11440288067946013
TENNESSEE,1993,3268642.0,3286481.0,866557.0,47.0,0.23052081742936326
TEXAS,1993,20267205.0,18574871.0,3608262.0,48.0,0.055264873474496774
VERMONT,1993,837540.0,809853.0,102755.0,50.0,1.9779281872134336
VIRGINIA,1993,5918536.0,5955333.0,1045471.0,51.0,0.19099588108230361
